step, learning_rate, loss_function, sampling_time, target_gathering_time, valid_loss_time, gradient_step_time, iteration_time, step_time, cumulative_elapsed_time
0,1.000000e-03,9.8334020996e+02,7.41005e-04,4.22813e-01,3.72705e-01,2.30757e+00,3.10412e+00,3.10413e+00,3.62990e+01
1024,1.000000e-06,2.2666278076e+02,6.17027e-04,4.35090e-03,2.83885e-03,4.44937e-03,1.24788e-02,1.27142e+01,4.59090e+01
